,ballot_number,ballot_name,sex,name,political_party,position,district
2,1,"CARDEMA, USEC RONALD (NP)",MALE,"CARDEMA, RONALD GIAN CARLO
LAPITAN",NACIONALISTA PARTY,PROVINCIAL BOARD MEMBER,
3,2,"CATINDIG, CYREN (IND)",MALE,"CATINDIG, CYREN JOSHUA OCAMPO",INDEPENDENT,PROVINCIAL BOARD MEMBER,
4,3,"DEMIAR, VOLTAGE (IND)",MALE,"DEMIAR, RYAN RIZAL LEDESMA",INDEPENDENT,PROVINCIAL BOARD MEMBER,
5,4,"ESPIRIDION, DYAN (LAKAS)",FEMALE,"ESPIRIDION, DYAN DEL VALLE","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",PROVINCIAL BOARD MEMBER,
6,5,"HIZON, VINZ (AKSYON)",MALE,"HIZON, ALVIN BATALONIA",AKSYON DEMOKRATIKO,PROVINCIAL BOARD MEMBER,
7,6,"IBAÑEZ, KUYA JONG (IND)",MALE,"IBAÑEZ, JONATHAN MONDRAGON",INDEPENDENT,PROVINCIAL BOARD MEMBER,
8,7,"LAJARA, PRINCESS (LAKAS)",FEMALE,"LAJARA, PRINCESS DIANE RASALAN","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",PROVINCIAL BOARD MEMBER,
9,8,"LARROZA, EMONG (NUP)",MALE,"LARROZA JR., EDMUNDO AVELINO",NATIONAL UNITY PARTY,PROVINCIAL BOARD MEMBER,
10,9,"MANAIG, BATANG MAJADA (IND)",FEMALE,"MANAIG, SHEREN COMIA",INDEPENDENT,PROVINCIAL BOARD MEMBER,
11,10,"RIVERA, NOEL TALAHIB (IND)",MALE,"RIVERA, NOEL BRIÑAS",INDEPENDENT,PROVINCIAL BOARD MEMBER,
12,11,"SARMIENTO, BOKALINO (PFP)",MALE,"SARMIENTO, CATALINO NATIVIDAD",PARTIDO FEDERAL NG PILIPINAS,PROVINCIAL BOARD MEMBER,
15,1,"CHIPECO, JUN (NP)",MALE,"CHIPECO, JOAQUIN JR. MONTAÑANO",NACIONALISTA PARTY,REPRESENTATIVE,1.0
16,2,"HERNANDEZ, CHA (LAKAS)",FEMALE,"HERNANDEZ, CHARISSE ANNE
CLAUDIO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",REPRESENTATIVE,1.0
17,3,"LAJARA, TURNE (PFP)",MALE,"LAJARA, SATURNINO JAVIER",PARTIDO FEDERAL NG PILIPINAS,REPRESENTATIVE,1.0
18,4,"SALOM, EUGIENE (AKAY)",MALE,"SALOM, EUGIENE ZAMORA","AKAY NATIONAL POLITICAL
PARTY",REPRESENTATIVE,1.0
21,1,"CHIPECO, TIMMY (NP)",MALE,"CHIPECO, JUSTIN MARC SAN
BUENAVENTURA",NACIONALISTA PARTY,MAYOR,
22,2,"RIZAL, ROSS (LAKAS)",MALE,"RIZAL, ROSELLER HAMER","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",MAYOR,
23,3,"SANTOS, OMAR (IND)",MALE,"SANTOS, OMAR NIDUAZA",INDEPENDENT,MAYOR,
24,4,"VERGARA, DOK VERONG (IND)",MALE,"VERGARA, SEVERINO BAWIIN",INDEPENDENT,MAYOR,
27,1,"LAZARO, TOTIE (LAKAS)",MALE,"LAZARO, ANGELITO, JR. SANTIAGO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",VICE-MAYOR,
28,2,"YLLANA, ANJO (NP)",MALE,"YLLANA, ANDRES JOSE SALVADOR JR.
GARCHITORENA",NACIONALISTA PARTY,VICE-MAYOR,
31,1,"ALCASID, GIGI (KNP)",FEMALE,"ALCASID, MARIA VIRGINIA AQUINO","KATIPUNAN NG NAGKAKAISANG
PILIPINO PARTY",COUNCILOR,1.0
32,2,"ALDABE, LIAN PECHO (LAKAS)",FEMALE,"ALDABE-CORTEZ, LEEANNE PECHO","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",COUNCILOR,1.0
