,ballot_number,ballot_name,sex,name,political_party,position,district
2,1,"DUTERTE, PAOLO (HTL)",MALE,"DUTERTE, PAOLO ZIMMERMAN","HUGPONG SA TAWONG
LUNGSOD",REPRESENTATIVE,1.0
3,2,"JABINES, JANETH (IND)",FEMALE,"JABINES, JANETH JONASAN",INDEPENDENT,REPRESENTATIVE,1.0
4,3,"LABIS, REX (IND)",MALE,"LABIS, REX MORALES",INDEPENDENT,REPRESENTATIVE,1.0
5,4,"MAGLANA, MAGS (IND)",FEMALE,"MAGLANA, MARIA VICTORIA ZAFRA",INDEPENDENT,REPRESENTATIVE,1.0
6,5,"NOGRALES, MIGS (IND)",FEMALE,"NOGRALES, MARGARITA IGNACIA
BENDIGO",INDEPENDENT,REPRESENTATIVE,1.0
9,1,"CAMPOS, JAVI GARCIA (PFP)",MALE,"CAMPOS, AUGUSTO JAVIER III GARCIA",PARTIDO FEDERAL NG PILIPINAS,REPRESENTATIVE,2.0
10,2,"DUTERTE, OMAR (HTL)",MALE,"DUTERTE, OMAR VINCENT SANGKOLA","HUGPONG SA TAWONG
LUNGSOD",REPRESENTATIVE,2.0
11,3,"MONTESCLAROS, MELOGEN
(IND)",FEMALE,"MONTESCLAROS, MELOGEN LIGUTOM",INDEPENDENT,REPRESENTATIVE,2.0
14,1,"AL-AG, NONOY (LAKAS)",MALE,"AL-AG, WILBERTO ECHAVEZ","LAKAS CHRISTIAN MUSLIM
DEMOCRATS",REPRESENTATIVE,3.0
15,2,"LOPEZ, RUY ELIAS (PFP)",MALE,"LOPEZ, RUY ELIAS CONCEPCION",PARTIDO FEDERAL NG PILIPINAS,REPRESENTATIVE,3.0
16,3,"MONREAL, LITO (IND)",MALE,"MONREAL, LITO DAHINES",INDEPENDENT,REPRESENTATIVE,3.0
17,4,"PLAZA, DINDO (IND)",MALE,"PLAZA, DINDO ROBERT GO",INDEPENDENT,REPRESENTATIVE,3.0
18,5,"UNGAB, ISIDRO (HTL)",MALE,"UNGAB, ISIDRO TOM","HUGPONG SA TAWONG
LUNGSOD",REPRESENTATIVE,3.0
21,1,"CUBOS, BISHOP ROD (IND)",MALE,"CUBOS, RODOLFO ATENEN",INDEPENDENT,MAYOR,
22,2,"DUTERTE, RODY (HTL)",MALE,"DUTERTE, RODRIGO ROA","HUGPONG SA TAWONG
LUNGSOD",MAYOR,
23,3,"JULAINE, JONATHAN (WPPLPP)",MALE,"JULAINE, JONATHAN MENDOZA","WORKERS AND PEASANTS
PARTY",MAYOR,
26,4,"NOGRALES, KARLO ALEXEI
(IND)",MALE,"NOGRALES, KARLO ALEXEI BENDIGO",INDEPENDENT,MAYOR,
27,5,"TAN, JOSELITO (IND)",MALE,"TAN, JOSELITO UY",INDEPENDENT,MAYOR,
30,1,"AL-AG, BERNIE (IND)",MALE,"AL-AG, BERNARD ECHAVEZ",INDEPENDENT,VICE-MAYOR,
31,2,"ALCEBAR, MARCOS (IND)",MALE,"ALCEBAR, RICHARD ANTONIO",INDEPENDENT,VICE-MAYOR,
32,3,"DUTERTE, BASTE (HTL)",MALE,"DUTERTE, SEBASTIAN ZIMMERMAN","HUGPONG SA TAWONG
LUNGSOD",VICE-MAYOR,
33,4,"SORIANO-BARCENA, OYIE (IND)",FEMALE,"BARCENA, RHODORA SORIANO",INDEPENDENT,VICE-MAYOR,
36,1,"ABELLERA, NILO JR. (PFP)",MALE,"ABELLERA, NILO JR. MALIG",PARTIDO FEDERAL NG PILIPINAS,COUNCILOR,1.0
