ballot_number,ballot_name,sex,name,partylist,position,district,lgu,province
1,"REDOBLE, CONG LOUIE (KNP)",M,"REDOBLE, LUISITO DIEZ",KATIPUNAN NG NAGKAKAISANG PILIPINO PARTY,REPRESENTATIVE,1,CITY OF LAS PIÑAS,
2,"SANTOS, MARK ANTHONY (IND)",M,"SANTOS, MARK ANTHONY GAYOSO",INDEPENDENT,REPRESENTATIVE,1,CITY OF LAS PIÑAS,
3,"TAYAM, BARRY (IND)",M,"TAYAM, JOHN BARRY TAMPON",INDEPENDENT,REPRESENTATIVE,1,CITY OF LAS PIÑAS,
4,"VILLAR, CYNTHIA (NP)",F,"VILLAR, CYNTHIA AGUILAR",NACIONALISTA PARTY,REPRESENTATIVE,1,CITY OF LAS PIÑAS,
1,"ANTONIO, MINNIE (IND)",F,"ANTONIO, MINNIE ALFAR",INDEPENDENT,REPRESENTATIVE,1,CITY OF MAKATI,
2,"BASE, ANGELO (IND)",M,"BASE, ANGELO ESTRADA",INDEPENDENT,REPRESENTATIVE,1,CITY OF MAKATI,
3,"LAGDAMEO, MONIQUE (MKTZNU)",F,"LAGDAMEO, MONIQUE YAZMIN MARIA QUIRINO",MAKATIZENS UNITED PARTY,REPRESENTATIVE,1,CITY OF MAKATI,
1,"ALMARIO, ALDEN (MKTZNU)",M,"ALMARIO, DENNIS BORJA",MAKATIZENS UNITED PARTY,REPRESENTATIVE,2,CITY OF MAKATI,
2,"SESE, VINCENT (UNA)",M,"SESE, VINCENT TEJADA",UNITED NATIONALIST ALLIANCE,REPRESENTATIVE,2,CITY OF MAKATI,
1,"FRESNEDI, JAIME (LP)",M,"FRESNEDI, JAIME DELA ROSA",LIBERAL PARTY,REPRESENTATIVE,1,CITY OF MUNTINLUPA,
2,"GARING, BIYONG (PDPLBN)",M,"GARING, SILVERIO RAYMUNDO",PARTIDO DEMOKRATIKO PILIPINO LAKAS NG BAYAN,REPRESENTATIVE,1,CITY OF MUNTINLUPA,
1,"OLIVAREZ, ERIC (LAKAS)",M,"OLIVAREZ, ERIC DE LEON",LAKAS CHRISTIAN MUSLIM DEMOCRATS,REPRESENTATIVE,1,CITY OF PARAÑAQUE,
1,"AGUILAR, ROLANDO (IND)",M,"AGUILAR, ROLANDO MENDOZA",INDEPENDENT,REPRESENTATIVE,2,CITY OF PARAÑAQUE,
2,"BAGUIO, FLORENTINO (IND)",M,"BAGUIO, FLORENTINO FULAY",INDEPENDENT,REPRESENTATIVE,2,CITY OF PARAÑAQUE,
3,"ESPINOLA, RODEL (WPP)",M,"ESPINOLA, RODEL AURELLANO",WORKERS AND PEASANTS PARTY (WPP) A.K.A LABOR PARTY,REPRESENTATIVE,2,CITY OF PARAÑAQUE,
4,"TAMBUNTING, GUS (NUP)",M,"TAMBUNTING, GUSTAVO ALONZO SUAREZ",NATIONAL UNITY PARTY,REPRESENTATIVE,2,CITY OF PARAÑAQUE,
5,"YAMSUAN, BRIAN (IND)",M,"YAMSUAN, BRIAN RAYMUND SANDOVAL",INDEPENDENT,REPRESENTATIVE,2,CITY OF PARAÑAQUE,
1,"BOCOBO, JORGE DANIEL (NP)",M,"BOCOBO, JORGE DANIEL SISON",NACIONALISTA PARTY,REPRESENTATIVE,2,CITY OF TAGUIG,
2,"MANILA, NOE (IND)",M,"MANILA, NOE LARGO",INDEPENDENT,REPRESENTATIVE,2,CITY OF TAGUIG,
3,"ZAMORA, PAMMY (LAKAS)",F,"ZAMORA, AMPARO MARIA JORGE",LAKAS CHRISTIAN MUSLIM DEMOCRATS,REPRESENTATIVE,2,CITY OF TAGUIG,
