ballot_number,ballot_name,sex,name,partylist,position,district,lgu,province
1,"GERMAN, GERALD (PFP)",M,"GERMAN, GERALD SANGALANG",PARTIDO FEDERAL NG PILIPINAS,MAYOR,,PATEROS,
2,"MIRANDA, RSM (NUP)",M,"MIRANDA, RONALDO SINCUYA",NATIONAL UNITY PARTY,MAYOR,,PATEROS,
1,"CERAFICA, JOHN (PFP)",M,"CERAFICA, JOHN MENDIOLA",PARTIDO FEDERAL NG PILIPINAS,VICE-MAYOR,,PATEROS,
2,"MARZAN, PETER (NUP)",M,"MARZAN, JOHN PETER FLORES",NATIONAL UNITY PARTY,VICE-MAYOR,,PATEROS,
3,"SANTOS, CARLO (NP)",M,"SANTOS, CARLO UMAGAT",NACIONALISTA PARTY,VICE-MAYOR,,PATEROS,
1,"ABIÑO, HAPON (NUP)",M,"ABIÑO, JOHNS MENDOZA",NATIONAL UNITY PARTY,COUNCILOR,1,PATEROS,
2,"ACOSTA, EDWIN (NP)",M,"ACOSTA, ELPIDIO JR. VILLEGAS",NACIONALISTA PARTY,COUNCILOR,1,PATEROS,
3,"APAN, ALFIE (IND)",M,"APAN, ALFIE CERVANTES",INDEPENDENT,COUNCILOR,1,PATEROS,
4,"BERMEJO, NENE (PFP)",F,"BERMEJO, LEONILA ONGMANCHI",PARTIDO FEDERAL NG PILIPINAS,COUNCILOR,1,PATEROS,
5,"BIGAS, DONRICE (IND)",M,"BIGAS, ADONIS BOTOR",INDEPENDENT,COUNCILOR,1,PATEROS,
6,"CERADA, KUYAJUN (IND)",M,"CERADA, DELFIN JR. BERNARDO",INDEPENDENT,COUNCILOR,1,PATEROS,
7,"DATU, FERNANDO (NUP)",M,"DATU, FERNANDO CERCADO",NATIONAL UNITY PARTY,COUNCILOR,1,PATEROS,
8,"DELA CRUZ, ALLAN (PFP)",M,"DELA CRUZ, ALLAN DELA CRUZ",PARTIDO FEDERAL NG PILIPINAS,COUNCILOR,1,PATEROS,
9,"DOLON, LANDO (IND)",M,"DOLON, ROLANDO LAGUARDIA",INDEPENDENT,COUNCILOR,1,PATEROS,
10,"GATPAYAT, RUEL (PFP)",M,"GATPAYAT, RUEL CERVANTES",PARTIDO FEDERAL NG PILIPINAS,COUNCILOR,1,PATEROS,
11,"LEGASPI, DANTE (IND)",M,"LEGASPI, DANTE CAMALIG",INDEPENDENT,COUNCILOR,1,PATEROS,
12,"LLAGAS, CESAR (IND)",M,"LLAGAS, CESAR ISON",INDEPENDENT,COUNCILOR,1,PATEROS,
